
 ################################################## 
TRAIN 	tag: 3-Alex 
Data Prepared:
 	TRAIN:2300
 	VALID:200
 	TEST:800
1 	Train(L=1.690  | A=0.468) 	Valid(L=1.618  | A=0.180) 	Test(L=1.634  | A=0.233) 	> Best
98 	Train(L=1.545  | A=0.240) 	Valid(L=1.558  | A=0.170) 	Test(L=1.558  | A=0.258) 
99 	Train(L=1.544  | A=0.240) 	Valid(L=1.556  | A=0.170) 	Test(L=1.582  | A=0.258) 
100 	Train(L=1.544  | A=0.240) 	Valid(L=1.566  | A=0.170) 	Test(L=1.554  | A=0.258) 
101 	Train(L=1.544  | A=0.240) 	Valid(L=1.553  | A=0.170) 	Test(L=1.549  | A=0.258) 
102 	Train(L=1.544  | A=0.240) 	Valid(L=1.565  | A=0.170) 	Test(L=1.558  | A=0.258) 
103 	Train(L=1.544  | A=0.240) 	Valid(L=1.566  | A=0.170) 	Test(L=1.554  | A=0.258) 
104 	Train(L=1.545  | A=0.240) 	Valid(L=1.553  | A=0.170) 	Test(L=1.562  | A=0.258) 
105 	Train(L=1.544  | A=0.240) 	Valid(L=1.549  | A=0.170) 	Test(L=1.546  | A=0.258) 
106 	Train(L=1.545  | A=0.240) 	Valid(L=1.554  | A=0.170) 	Test(L=1.553  | A=0.258) 
107 	Train(L=1.544  | A=0.240) 	Valid(L=1.560  | A=0.170) 	Test(L=1.558  | A=0.258) 
108 	Train(L=1.544  | A=0.240) 	Valid(L=1.563  | A=0.170) 	Test(L=1.562  | A=0.258) 
109 	Train(L=1.544  | A=0.240) 	Valid(L=1.567  | A=0.170) 	Test(L=1.549  | A=0.258) 
110 	Train(L=1.544  | A=0.240) 	Valid(L=1.553  | A=0.170) 	Test(L=1.566  | A=0.258) 
111 	Train(L=1.544  | A=0.240) 	Valid(L=1.553  | A=0.170) 	Test(L=1.553  | A=0.258) 
112 	Train(L=1.545  | A=0.240) 	Valid(L=1.547  | A=0.170) 	Test(L=1.570  | A=0.258) 
